operator_address,uptime_rate,latency_score,deviation_accuracy_score,round_participation_score,composite_score,tier,participation_rate_pct,mean_latency_ms,mean_deviation_pct
0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0,0.9899305555555555,100.0,91.89898177122787,98.99305555555556,97.52,Tier 1,98.99,219.8,0.0622
0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1,0.9897453703703704,100.0,91.81995277209025,99.00925925925927,97.5,Tier 1,98.97,239.4,0.0623
0xC3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2,0.9780324074074074,100.0,92.67879646206706,98.03472222222223,97.22,Tier 1,97.8,259.8,0.061
0xD0E1F2A3B4C5D6E7F8A9B0C1D2E3F4A5B6C7D8E9,0.6226851851851852,100.0,91.6071492439921,96.92361111111111,86.12,Tier 1,62.27,358.9,0.0626
0xB4C5D6E7F8A9B0C1D2E3F4A5B6C7D8E9F0A1B2C3,0.5865972222222222,100.0,92.62763871597224,96.95370370370371,85.3,Tier 1,58.66,369.0,0.0611
0xD4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2E3,0.5551157407407408,100.0,90.46026641524185,97.08101851851852,83.83,Tier 1,55.51,379.1,0.0643
0xF6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2E3F4A5,0.5143055555555556,100.0,92.69223552962222,96.04861111111111,83.01,Tier 1,51.43,390.0,0.061
0xD6E7F8A9B0C1D2E3F4A5B6C7D8E9F0A1B2C3D4E5,0.49819444444444444,100.0,91.84705457629643,96.04861111111111,82.31,Tier 1,49.82,395.1,0.0622
0xE5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2E3F4,0.48909722222222224,100.0,90.54138619570364,97.03472222222223,81.86,Tier 1,48.91,398.9,0.0642
0xF2A3B4C5D6E7F8A9B0C1D2E3F4A5B6C7D8E9F0A1,0.4811111111111111,100.0,90.1835141079048,94.98148148148148,81.23,Tier 1,48.11,398.7,0.0647
0xB8C9D0E1F2A3B4C5D6E7F8A9B0C1D2E3F4A5B6C7,0.46099537037037036,98.83011612933996,92.19316066326058,97.07407407407408,81.09,Tier 1,46.1,409.4,0.0617
0xC5D6E7F8A9B0C1D2E3F4A5B6C7D8E9F0A1B2C3D4,0.4387962962962963,98.02349045907414,88.46291528832712,95.95601851851852,79.08,Tier 2,43.88,415.8,0.0673
0xE7F8A9B0C1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6,0.4164583333333333,97.08698988914605,92.28319210362625,95.01157407407408,78.94,Tier 2,41.65,423.3,0.0616
0xA7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2E3F4A5B6,0.4266898148148148,97.46526605239036,88.37511394752346,95.96759259259258,78.53,Tier 2,42.67,420.3,0.0674
0xE1F2A3B4C5D6E7F8A9B0C1D2E3F4A5B6C7D8E9F0,0.3970601851851852,96.22731568429164,90.52712380053924,96.13888888888889,77.83,Tier 2,39.71,430.2,0.0642
0xC9D0E1F2A3B4C5D6E7F8A9B0C1D2E3F4A5B6C7D8,0.37525462962962963,94.84613342344082,92.48940146264701,95.9074074074074,77.22,Tier 2,37.53,441.2,0.0613
0xA3B4C5D6E7F8A9B0C1D2E3F4A5B6C7D8E9F0A1B2,0.35118055555555555,93.68930087588747,92.62385645718686,94.87731481481482,76.03,Tier 2,35.12,450.5,0.0611
0xB0C1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9,0.11370370370370371,68.79226492419683,54.21155474948246,80.77083333333334,49.72,At Risk,11.37,649.7,0.1187
0xF8A9B0C1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7,0.09574074074074074,62.63229331487342,35.75630294755655,81.92592592592592,42.89,At Risk,9.57,698.9,0.1464
0xA9B0C1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8,0.06993055555555555,52.81306085043988,9.982191296715094,78.93518518518519,32.28,At Risk,6.99,777.5,0.185
